Dates,Localisation,ESR,Type,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-10,MULHOUSE-NORD,oui,Incident de marchandise dangereuse,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,PIERRE BUFFIERE,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-07,Technicentre Sud-Est Européen,non,Electrisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-17,PARIS-EST,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-13,HOURCADIE,oui,Pénétration intempestive sur domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-23,AMBERIEU,non,Appareil de voie mal disposé,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-08,VILLENEUVE TRIAGE,non,Erreur d’itinéraire,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-12,PARIS-EST,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-28,LORRAINE LOUVIGNY BV,non,Perte d’organe du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-28,Entre SENS et PONT Sur YONNE,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-31,DIJON,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-07,PORTES,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-15,Entre Montereau et ST FLORENTIN,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-13,Technicentre de LYON,non,Electrisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-03,PARIS BERCY,non,Collision par prise en écharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-07,NEMOURS,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-23,BREAUTE,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-18,TGV SUD EST,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-17,REUGNY,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-08,BIBLIOTHEQUE FRANCOIS MITTERAND,oui,Collision,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-14,BAYONNE,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
